iter	Passed	Remaining
0	1	143
1	2	127
2	3	119
3	4	110
4	5	113
5	7	111
6	8	110
7	9	110
8	10	109
9	12	108
10	13	105
11	14	103
12	15	101
13	16	99
14	17	99
15	19	99
16	20	98
17	21	96
18	22	94
19	23	92
20	24	91
21	25	90
22	26	89
23	27	88
24	28	86
25	29	85
26	31	84
27	32	83
28	33	82
29	34	80
30	35	79
31	36	78
32	37	76
33	39	76
34	40	74
35	41	73
36	42	72
37	43	71
38	45	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	52	64
45	54	63
46	55	62
47	56	60
48	57	59
49	58	58
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	69	48
59	70	46
60	71	45
61	73	44
62	74	43
63	75	42
64	76	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	25
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	100	17
85	101	16
86	102	15
87	103	14
88	105	12
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	112	5
95	113	4
96	114	3
97	116	2
98	117	1
99	118	0
